Student ID,First Name,Last Name,Email,Program,Semester
4693981513,Monica,Zboncak,monica.zboncak26@student.gtu.edu,B.Tech in Computer Science,1
2258467734,Hosea,Konopelski,hosea_konopelski@student.gtu.edu,B.Tech in Computer Science,1
1747780651,Ernesto,Dietrich,ernesto.dietrich@student.gtu.edu,B.Tech in Computer Science,1
9206858686,Nellie,Berge,nellie.berge77@student.gtu.edu,B.Tech in Computer Science,1
9158066024,Jamaal,Kilback,jamaal_kilback@student.gtu.edu,B.Tech in Computer Science,1
0581438730,Sylvester,Lang,sylvester_lang@student.gtu.edu,B.Tech in Computer Science,1
1921647888,Janet,Flatley,janet_flatley89@student.gtu.edu,B.Tech in Computer Science,1
6813353027,Neoma,Lebsack,neoma.lebsack@student.gtu.edu,B.Tech in Computer Science,1
6422445681,Ona,Schaden,ona_schaden82@student.gtu.edu,B.Tech in Computer Science,1
2478167884,Ashly,Weimann,ashly.weimann@student.gtu.edu,B.Tech in Computer Science,1
0996745841,Terrance,Sawayn-Hackett,terrance.sawayn-hackett34@student.gtu.edu,B.Tech in Computer Science,1
3873335116,Flora,Littel,flora_littel66@student.gtu.edu,B.Tech in Computer Science,1
1011564097,Jade,Lang,jade.lang@student.gtu.edu,B.Tech in Computer Science,1
1774399847,Darnell,Skiles,darnell.skiles@student.gtu.edu,B.Tech in Computer Science,1
7927710376,Sebastian,Gusikowski,sebastian_gusikowski79@student.gtu.edu,B.Tech in Computer Science,1
6052233813,Meredith,Stanton,meredith_stanton70@student.gtu.edu,B.Tech in Computer Science,1
2216297416,Khalid,Block,khalid.block@student.gtu.edu,B.Tech in Computer Science,1
3007894677,Eliane,Kuvalis,eliane.kuvalis@student.gtu.edu,B.Tech in Computer Science,1
2599779474,Rosanna,Kertzmann,rosanna.kertzmann@student.gtu.edu,B.Tech in Computer Science,1
2290380838,Agustin,Romaguera,agustin.romaguera@student.gtu.edu,B.Tech in Computer Science,1
8631379530,Arturo,Stamm,arturo_stamm9@student.gtu.edu,B.Tech in Computer Science,1
0460741991,Abby,Trantow,abby.trantow17@student.gtu.edu,B.Tech in Computer Science,1
9544177580,Gilbert,Gleichner,gilbert_gleichner@student.gtu.edu,B.Tech in Computer Science,1
0472473959,Jeannette,Bashirian,jeannette_bashirian79@student.gtu.edu,B.Tech in Computer Science,1
3867598689,Mollie,Hessel,mollie_hessel41@student.gtu.edu,B.Tech in Computer Science,1
7094339259,Rhonda,Casper,rhonda_casper@student.gtu.edu,B.Tech in Computer Science,1
